,OrderNumber,OrderDate,Channel,CurrencyCode,WarehouseCode,DeliveryRegionIndex,OrderQuantity,UnitPrice,LineTotal,TotalUnitCost,ProductIndex,Category,CustomerIndex,CustomerNames,Emails,HeadOfficeIndex,RegionIndex,City,Country
483,SO - 000584,41847,Export,USD,GUT930,39,11,5835.7,64192.7,3968.276,7,men's & women's clothing,109,WOCKHARDT Group,mcarter8x@feedburner.com,19,39,Leeds,UK
484,SO - 000585,41847,Wholesale,USD,NXH382,50,9,6036.7,54330.3,3139.084,2,books,35,Aromaticos Company,jprice67@issuu.com,34,50,Rotterdam,Netherlands
485,SO - 000586,41847,Distributor,USD,AXW291,31,8,1031.8,8254.4,825.44,3,electronics,130,Jayo Company,mreyes1q@umn.edu,53,31,RIGA,Latvia
486,SO - 000587,41847,Wholesale,USD,FLR025,60,10,5956.3,59563.0,4407.662,5,sports & fitness,45,State Ltd,mbarnesv@google.nl,35,60,Sheffield,UK
487,SO - 000588,41847,Distributor,USD,AXW291,19,6,3932.9,23597.4,2989.004,15,pet supplies,80,Realbuzz Ltd,gandrews39@nifty.com,42,19,SOFIA,Bulgaria
488,SO - 000589,41847,Wholesale,USD,GUT930,45,6,5889.3,35335.8,4416.975,10,accessories,14,Alembic Ltd,bcooper41@guardian.co.uk,2,45,Frankfurt am Main,Germany
489,SO - 000590,41847,Export,USD,NXH382,59,7,2458.9,17212.3,1647.463,5,sports & fitness,41,Pixoboo Corp,gpalmer43@hexun.com,25,59,Bremen,Germany
490,SO - 000591,41847,Wholesale,USD,AXW291,19,6,3912.8,23476.8,2034.656,7,men's & women's clothing,110,Holston Company,chamilton3z@geocities.jp,34,19,SOFIA,Bulgaria
491,SO - 000592,41848,Wholesale,USD,AXW291,25,5,5668.2,28341.0,3570.966,8,car & motorbike,7,Skidoo Company,cmiller1e@statcounter.com,41,25,Köln (Cologne),Germany
492,SO - 000593,41848,Wholesale,USD,AXW291,1,8,5547.6,44380.8,4216.176,1,home appliances,85,Lazzy Group,ewright29@theatlantic.com,19,1,LONDON,UK
493,SO - 000594,41849,Export,USD,AXW291,20,10,201.0,2010.0,96.48,7,men's & women's clothing,137,Aldi Ltd,fcampbell80@360.cn,28,20,Dnepropetrovsk,Ukraine
494,SO - 000595,41849,Wholesale,USD,FLR025,65,9,247.9,2231.1,198.32,7,men's & women's clothing,157,Flipstorm Group,jcarr8@oakley.com,51,65,OSLO,Norway
495,SO - 000596,41849,Distributor,USD,NXH382,51,6,3859.2,23155.2,3125.952,15,pet supplies,128,Cantrell Company,rcunninghamqt@bigcartel.com,35,51,Dortmund,Germany
496,SO - 000597,41849,Wholesale,USD,GUT930,39,10,5487.3,54873.0,3127.761,5,sports & fitness,29,Voolia Ltd,btaylorv@networksolutions.com,12,39,Leeds,UK
497,SO - 000598,41849,Wholesale,USD,GUT930,40,11,1809.0,19899.0,1157.76,3,electronics,128,Cantrell Company,rcunninghamqt@bigcartel.com,35,40,Kryvy Rig,Ukraine
498,SO - 000599,41850,Export,USD,AXW291,18,7,2405.3,16837.1,1731.816,8,car & motorbike,62,Topiczoom Corp,tgordondk@diigo.com,53,18,PRAHA (Prague),Czech Republic
499,SO - 000600,41850,Wholesale,USD,GUT930,34,8,790.6,6324.8,672.01,6,grocery & gourmet foods,126,Rhynoodle Ltd,wshawq2@mlb.com,52,34,Salonika,Greece
500,SO - 000601,41850,Distributor,USD,NXH382,53,7,3202.6,22418.2,2177.768,8,car & motorbike,65,CARDINAL Group,emarshall1o@multiply.com,8,53,VILNIUS,Lithuania
501,SO - 000602,41850,Wholesale,USD,NXH382,57,12,1058.6,12703.2,645.746,6,grocery & gourmet foods,153,WOONSOCKET Corp,ejordan2g@nba.com,13,57,HELSINKI,Finland
502,SO - 000603,41850,Wholesale,USD,AXW291,7,9,1768.8,15919.2,778.272,4,furniture,159,Quaxo Ltd,jgray33@blogtalkradio.com,30,7,BUCURESTI (Bucharest),Romania
503,SO - 000604,41850,Export,USD,GUT930,36,7,971.5,6800.5,534.325,2,books,60,BTA Corp,jpeters2z@wordpress.org,5,36,Kraków,Poland
504,SO - 000605,41850,Distributor,USD,AXW291,28,5,938.0,4690.0,478.38,10,accessories,154,GOOD Ltd,dhanson5@com.com,60,28,Zaporozhye,Ukraine
505,SO - 000606,41850,Wholesale,USD,AXW291,5,9,958.1,8622.9,756.899,6,grocery & gourmet foods,76,NARS Group,bhamilton70@multiply.com,27,5,KIEV,Ukraine
506,SO - 000607,41850,Wholesale,USD,AXW291,30,8,3705.1,29640.8,2111.907,9,health & personal care,38,Neutrogena Ltd,aharveyd3@flavors.me,33,30,Marseille,France
507,SO - 000608,41851,Wholesale,USD,GUT930,47,12,1025.1,12301.2,686.817,14,musical instruments,120,Chatterbri Ltd,smiller24@biglobe.ne.jp,50,47,Glasgow,UK
508,SO - 000609,41851,Export,USD,GUT930,33,6,2592.9,15557.4,1711.314,7,men's & women's clothing,47,Gigabox Group,jjohnston3t@homestead.com,39,33,ATHINAI (Athens),Greece
509,SO - 000610,41851,Wholesale,USD,AXW291,27,11,3865.9,42524.9,3054.061,9,health & personal care,43,Pacific Ltd,pkennedyt@amazon.co.uk,20,27,ZAGREB,Croatia
510,SO - 000611,41851,Wholesale,USD,FLR025,63,6,5634.7,33808.2,4226.025,6,grocery & gourmet foods,16,Arbor Company,ajenkinsbb@feedburner.com,37,63,Hannover,Germany
511,SO - 000612,41851,Wholesale,USD,FLR025,65,10,971.5,9715.0,621.76,1,home appliances,69,Vinte Group,randerson1k@mozilla.com,48,65,OSLO,Norway
512,SO - 000613,41852,Distributor,USD,GUT930,40,11,1051.9,11570.9,694.254,2,books,74,Dazzlesphe Corp,mpalmera6@census.gov,50,40,Kryvy Rig,Ukraine
513,SO - 000614,41852,Wholesale,USD,GUT930,36,5,1051.9,5259.5,683.735,3,electronics,38,Neutrogena Ltd,aharveyd3@flavors.me,33,36,Kraków,Poland
514,SO - 000615,41852,Export,USD,GUT930,41,12,1139.0,13668.0,854.25,3,electronics,21,Viva Ltd,wyoungoo@ucla.edu,55,41,Sevilla,Spain
515,SO - 000616,41852,Distributor,USD,AXW291,6,7,5849.1,40943.7,3041.532,12,garden & outdoor,130,Jayo Company,mreyes1q@umn.edu,53,6,PARIS,France
516,SO - 000617,41852,Export,USD,AXW291,13,10,2264.6,22646.0,1222.884,4,furniture,54,Revitol Company,aramos9w@php.net,41,13,WIEN (Vienna),Austria
517,SO - 000618,41852,Export,USD,AXW291,19,9,1125.6,10130.4,889.224,3,electronics,4,Eire Corp,rgreene16@deviantart.com,64,19,SOFIA,Bulgaria
518,SO - 000619,41852,Distributor,USD,AXW291,2,8,1078.7,8629.6,755.09,1,home appliances,101,Feednation Corp,rbennett8q@tinypic.com,29,2,BERLIN,Germany
519,SO - 000620,41852,Wholesale,USD,AXW291,11,11,2405.3,26458.3,1635.604,11,toy & kids products,173,H Ltd,pgonzales7y@youku.com,12,11,WARSZAWA (Warsaw),Poland
520,SO - 000621,41852,Export,USD,AXW291,28,7,1072.0,7504.0,707.52,13,beauty make-up,170,SEINDNI Corp,jwilliamson1o@unblog.fr,58,28,Zaporozhye,Ukraine
521,SO - 000622,41853,Export,USD,GUT930,37,11,5808.9,63897.9,3369.162,8,car & motorbike,14,Alembic Ltd,bcooper41@guardian.co.uk,2,37,Valencia,Spain
522,SO - 000623,41853,Distributor,USD,GUT930,37,8,3926.2,31409.6,1845.314,13,beauty make-up,96,Thoughtmix Ltd,ssanchez5k@netvibes.com,43,37,Valencia,Spain
523,SO - 000624,41853,Wholesale,USD,NXH382,52,11,201.0,2211.0,160.8,15,pet supplies,164,Divanoodle Ltd,cgarrettkj@ted.com,26,52,Stuttgart,Germany
524,SO - 000625,41853,Wholesale,USD,AXW291,3,5,1882.7,9413.5,1430.852,8,car & motorbike,143,Mita Corp,rfoxlk@slideshare.net,2,3,MADRID,Spain
525,SO - 000626,41853,Distributor,USD,AXW291,27,8,2532.6,20260.8,1089.018,2,books,126,Rhynoodle Ltd,wshawq2@mlb.com,52,27,ZAGREB,Croatia
526,SO - 000627,41853,Wholesale,USD,AXW291,4,6,207.7,1246.2,135.005,10,accessories,57,Camido Company,alopez2b@vistaprint.com,54,4,ROMA,Italy
527,SO - 000628,41853,Distributor,USD,AXW291,21,9,241.2,2170.8,180.9,5,sports & fitness,133,Mydo Corp,rramoshq@jugem.jp,54,21,Donetsk,Ukraine
528,SO - 000629,41853,Wholesale,USD,GUT930,40,7,1152.4,8066.8,507.056,5,sports & fitness,23,Devpoint Group,lsanchez5d@umich.edu,48,40,Kryvy Rig,Ukraine
529,SO - 000630,41854,Wholesale,USD,GUT930,35,7,3879.3,27155.1,2288.787,11,toy & kids products,117,ALK-Abello Ltd,jwelch37@bigcartel.com,30,35,STOCKHOLM,Sweden
530,SO - 000631,41854,Wholesale,USD,GUT930,40,7,3865.9,27061.3,3170.038,7,men's & women's clothing,9,Walgreen Corp,aparker1l@pcworld.com,10,40,Kryvy Rig,Ukraine
531,SO - 000632,41854,Distributor,USD,AXW291,22,8,1835.8,14686.4,1248.344,6,grocery & gourmet foods,16,Arbor Company,ajenkinsbb@feedburner.com,37,22,Napoli (Naples),Italy
532,SO - 000633,41854,Wholesale,USD,FLR025,61,5,234.5,1172.5,180.565,4,furniture,145,Janyx Group,earnold59@epa.gov,11,61,SARAJEVO,Bosnia
533,SO - 000634,41854,Wholesale,USD,NXH382,51,5,757.1,3785.5,507.257,14,musical instruments,129,Sanum-Kehl Group,pwells2x@zimbio.com,50,51,Dortmund,Germany
534,SO - 000635,41854,Wholesale,USD,GUT930,39,10,1005.0,10050.0,703.5,3,electronics,108,Vitz Company,pmorales92@naver.com,27,39,Leeds,UK
535,SO - 000636,41855,Distributor,USD,AXW291,29,10,6391.8,63918.0,5113.44,7,men's & women's clothing,61,Eidel Corp,jrogersda@dion.ne.jp,5,29,Lódz,Poland
536,SO - 000637,41855,Wholesale,USD,NXH382,49,5,2740.3,13701.5,1123.523,10,accessories,84,The Ltd,gporter3l@nba.com,27,49,Essen,Germany
537,SO - 000638,41855,Distributor,USD,AXW291,11,5,924.6,4623.0,536.268,9,health & personal care,136,Bath Group,cparker3z@state.tx.us,58,11,WARSZAWA (Warsaw),Poland
538,SO - 000639,41855,Distributor,USD,AXW291,4,11,1031.8,11349.8,505.582,11,toy & kids products,136,Bath Group,cparker3z@state.tx.us,58,4,ROMA,Italy
539,SO - 000640,41855,Wholesale,USD,AXW291,17,12,1098.8,13185.6,769.16,2,books,53,Kare Corp,pfreeman2d@edublogs.org,50,17,München (Munich),Germany
540,SO - 000641,41855,Wholesale,USD,NXH382,51,5,1132.3,5661.5,713.349,5,sports & fitness,101,Feednation Corp,rbennett8q@tinypic.com,29,51,Dortmund,Germany
541,SO - 000642,41855,Wholesale,USD,FLR025,63,6,2465.6,14793.6,1602.64,1,home appliances,153,WOONSOCKET Corp,ejordan2g@nba.com,13,63,Hannover,Germany
542,SO - 000643,41855,Distributor,USD,AXW291,23,7,1005.0,7035.0,462.3,12,garden & outdoor,99,Flipbug Ltd,rford65@google.co.jp,13,23,Birmingham,UK
543,SO - 000644,41856,Wholesale,USD,GUT930,46,9,1246.2,11215.8,1021.884,14,musical instruments,160,Browsebug Company,jmedina4n@tumblr.com,16,46,Wroclaw (Breslau),Poland
544,SO - 000645,41856,Distributor,USD,NXH382,53,5,1025.1,5125.5,809.829,5,sports & fitness,7,Skidoo Company,cmiller1e@statcounter.com,41,53,VILNIUS,Lithuania
545,SO - 000646,41856,Distributor,USD,AXW291,3,11,1902.8,20930.8,1084.596,4,furniture,145,Janyx Group,earnold59@epa.gov,11,3,MADRID,Spain
546,SO - 000647,41856,Wholesale,USD,NXH382,53,8,3738.6,29908.8,2056.23,15,pet supplies,163,Zava Group,emyers4p@princeton.edu,25,53,VILNIUS,Lithuania
547,SO - 000648,41856,Wholesale,USD,GUT930,32,7,1996.6,13976.2,1237.892,3,electronics,73,Deseret Group,grobinson3g@sun.com,31,32,Lvov,Ukraine
548,SO - 000649,41856,Distributor,USD,AXW291,14,6,2331.6,13989.6,1818.648,7,men's & women's clothing,174,Tekfly Group,awashington5k@devhub.com,23,14,Kharkov,Ukraine
549,SO - 000650,41856,Export,USD,GUT930,40,5,1078.7,5393.5,701.155,6,grocery & gourmet foods,143,Mita Corp,rfoxlk@slideshare.net,2,40,Kryvy Rig,Ukraine
550,SO - 000651,41856,Distributor,USD,FLR025,60,10,1788.9,17889.0,1216.452,5,sports & fitness,108,Vitz Company,pmorales92@naver.com,27,60,Sheffield,UK
551,SO - 000652,41856,Wholesale,USD,FLR025,63,9,241.2,2170.8,161.604,15,pet supplies,111,Buzzbean Group,brodriguezmw@google.co.uk,10,63,Hannover,Germany
552,SO - 000653,41856,Distributor,USD,GUT930,44,12,1159.1,13909.2,533.186,9,health & personal care,138,Zoovu Corp,treynoldspc@freewebs.com,9,44,Genova,Italy
553,SO - 000654,41856,Wholesale,USD,AXW291,1,11,1051.9,11570.9,515.431,8,car & motorbike,68,True Ltd,bcollins1t@prweb.com,4,1,LONDON,UK
554,SO - 000655,41856,Wholesale,USD,GUT930,44,7,5969.7,41787.9,3343.032,3,electronics,54,Revitol Company,aramos9w@php.net,41,44,Genova,Italy
555,SO - 000656,41856,Wholesale,USD,FLR025,64,11,3919.5,43114.5,2508.48,14,musical instruments,97,Twimbo Company,halvarezm@stanford.edu,23,64,Mykolaiv,Ukraine
556,SO - 000657,41856,Export,USD,AXW291,1,10,1118.9,11189.0,492.316,1,home appliances,41,Pixoboo Corp,gpalmer43@hexun.com,25,1,LONDON,UK
557,SO - 000658,41856,Export,USD,FLR025,63,5,1118.9,5594.5,570.639,12,garden & outdoor,112,Skiptube Ltd,jmcdonaldbb@disqus.com,35,63,Hannover,Germany
558,SO - 000659,41856,Wholesale,USD,AXW291,5,9,5427.0,48843.0,3744.63,11,toy & kids products,6,Family Corp,ajacobs2g@seattletimes.com,61,5,KIEV,Ukraine
559,SO - 000660,41856,Wholesale,USD,AXW291,20,5,3725.2,18626.0,2570.388,4,furniture,33,Cadila Ltd,joliver2c@usda.gov,36,20,Dnepropetrovsk,Ukraine
560,SO - 000661,41856,Wholesale,USD,GUT930,39,5,187.6,938.0,75.04,15,pet supplies,27,Wise Company,bmatthewsm@dot.gov,28,39,Leeds,UK
561,SO - 000662,41856,Export,USD,NXH382,54,5,3999.9,19999.5,3359.916,8,car & motorbike,118,MEIJER Corp,esimmons3g@guardian.co.uk,46,54,Poznan,Poland
562,SO - 000663,41856,Wholesale,USD,AXW291,3,11,971.5,10686.5,592.615,11,toy & kids products,138,Zoovu Corp,treynoldspc@freewebs.com,9,3,MADRID,Spain
563,SO - 000664,41856,Wholesale,USD,AXW291,4,10,1118.9,11189.0,727.285,6,grocery & gourmet foods,106,Organon Corp,cwillis1c@theatlantic.com,15,4,ROMA,Italy
564,SO - 000665,41857,Export,USD,GUT930,38,12,864.3,10371.6,501.294,4,furniture,23,Devpoint Group,lsanchez5d@umich.edu,48,38,AMSTERDAM,Netherlands
565,SO - 000666,41857,Wholesale,USD,AXW291,21,11,5782.1,63603.1,4394.396,10,accessories,55,American Corp,ecollinsd1@seesaa.net,52,21,Donetsk,Ukraine
566,SO - 000667,41857,Wholesale,USD,AXW291,28,6,904.5,5427.0,461.295,9,health & personal care,75,Cogilith Group,bnelson17@parallels.com,50,28,Zaporozhye,Ukraine
567,SO - 000668,41857,Wholesale,USD,GUT930,34,6,247.9,1487.4,158.656,7,men's & women's clothing,51,Yombu Corp,dfox1t@reuters.com,13,34,Salonika,Greece
568,SO - 000669,41857,Export,USD,NXH382,49,10,1708.5,17085.0,1213.035,10,accessories,92,Yodoo Ltd,fscottii@fotki.com,24,49,Essen,Germany
569,SO - 000670,41857,Distributor,USD,AXW291,30,10,1132.3,11323.0,702.026,12,garden & outdoor,6,Family Corp,ajacobs2g@seattletimes.com,61,30,Marseille,France
570,SO - 000671,41857,Distributor,USD,AXW291,22,5,1775.5,8877.5,1225.095,1,home appliances,143,Mita Corp,rfoxlk@slideshare.net,2,22,Napoli (Naples),Italy
571,SO - 000672,41857,Distributor,USD,AXW291,5,8,1902.8,15222.4,970.428,3,electronics,125,Zooveo Company,jevans0@guardian.co.uk,22,5,KIEV,Ukraine
572,SO - 000673,41858,Wholesale,USD,AXW291,27,8,5963.0,47704.0,2802.61,2,books,129,Sanum-Kehl Group,pwells2x@zimbio.com,50,27,ZAGREB,Croatia
573,SO - 000674,41858,Wholesale,USD,GUT930,38,6,3886.0,23316.0,2176.16,1,home appliances,34,Z.H.T. Group,rwhitedq@nymag.com,29,38,AMSTERDAM,Netherlands
574,SO - 000675,41858,Wholesale,USD,NXH382,51,9,1058.6,9527.4,635.16,9,health & personal care,37,Mycone Ltd,jcruz2p@php.net,41,51,Dortmund,Germany
575,SO - 000676,41858,Wholesale,USD,GUT930,39,5,5815.6,29078.0,4419.856,15,pet supplies,28,Army Group,aellis34@tiny.cc,46,39,Leeds,UK
576,SO - 000677,41858,Export,USD,GUT930,44,11,5353.3,58886.3,4496.772,4,furniture,128,Cantrell Company,rcunninghamqt@bigcartel.com,35,44,Genova,Italy
577,SO - 000678,41858,Wholesale,USD,NXH382,54,11,5567.7,61244.7,4565.514,6,grocery & gourmet foods,80,Realbuzz Ltd,gandrews39@nifty.com,42,54,Poznan,Poland
578,SO - 000679,41859,Distributor,USD,AXW291,28,7,2512.5,17587.5,2135.625,14,musical instruments,160,Browsebug Company,jmedina4n@tumblr.com,16,28,Zaporozhye,Ukraine
579,SO - 000680,41859,Wholesale,USD,NXH382,53,8,1681.7,13453.6,1227.641,8,car & motorbike,141,Skinder Group,slawsonci@meetup.com,46,53,VILNIUS,Lithuania
580,SO - 000681,41859,Wholesale,USD,NXH382,48,10,194.3,1943.0,136.01,4,furniture,139,Zoomzone Corp,kwheeler2h@army.mil,63,48,Zaragoza,Spain
581,SO - 000682,41859,Distributor,USD,GUT930,46,8,2405.3,19242.4,1683.71,13,beauty make-up,92,Yodoo Ltd,fscottii@fotki.com,24,46,Wroclaw (Breslau),Poland
582,SO - 000683,41859,Distributor,USD,NXH382,49,6,1038.5,6231.0,706.18,2,books,26,Avavee Group,joliver1z@unesco.org,33,49,Essen,Germany
583,SO - 000684,41859,Wholesale,USD,AXW291,13,8,857.6,6860.8,591.744,2,books,7,Skidoo Company,cmiller1e@statcounter.com,41,13,WIEN (Vienna),Austria
584,SO - 000685,41859,Wholesale,USD,NXH382,52,8,1855.9,14847.2,1354.807,15,pet supplies,99,Flipbug Ltd,rford65@google.co.jp,13,52,Stuttgart,Germany
585,SO - 000686,41859,Distributor,USD,AXW291,5,10,5621.3,56213.0,2585.798,13,beauty make-up,13,Nexus Group,rsanders1e@latimes.com,9,5,KIEV,Ukraine
586,SO - 000687,41859,Distributor,USD,AXW291,17,7,1139.0,7973.0,649.23,13,beauty make-up,35,Aromaticos Company,jprice67@issuu.com,34,17,München (Munich),Germany
587,SO - 000688,41860,Export,USD,FLR025,63,10,2264.6,22646.0,1834.326,15,pet supplies,9,Walgreen Corp,aparker1l@pcworld.com,10,63,Hannover,Germany
588,SO - 000689,41860,Wholesale,USD,NXH382,55,7,884.4,6190.8,566.016,4,furniture,47,Gigabox Group,jjohnston3t@homestead.com,39,55,Düsseldorf,Germany
589,SO - 000690,41860,Wholesale,USD,AXW291,15,5,683.4,3417.0,382.704,10,accessories,168,Podcat Corp,wgreenks@ocn.ne.jp,35,15,Barcelona,Spain
590,SO - 000691,41860,Export,USD,AXW291,13,10,1025.1,10251.0,481.797,10,accessories,143,Mita Corp,rfoxlk@slideshare.net,2,13,WIEN (Vienna),Austria
591,SO - 000692,41860,Export,USD,AXW291,16,9,3731.9,33587.1,2276.459,15,pet supplies,117,ALK-Abello Ltd,jwelch37@bigcartel.com,30,16,Milano (Milan),Italy
592,SO - 000693,41860,Wholesale,USD,FLR025,62,5,5567.7,27838.5,3229.266,7,men's & women's clothing,47,Gigabox Group,jjohnston3t@homestead.com,39,62,Duisburg,Germany
593,SO - 000694,41860,Wholesale,USD,AXW291,17,5,991.6,4958.0,525.548,1,home appliances,116,Epic Group,sruizd@wikia.com,44,17,München (Munich),Germany
594,SO - 000695,41860,Wholesale,USD,AXW291,17,9,3852.5,34672.5,3043.475,14,musical instruments,148,Jabbercube Corp,dkennedyaj@intel.com,8,17,München (Munich),Germany
595,SO - 000696,41860,Distributor,USD,NXH382,48,11,3906.1,42967.1,1835.867,3,electronics,71,Remedy Ltd,gray5n@bravesites.com,38,48,Zaragoza,Spain
596,SO - 000697,41860,Wholesale,USD,GUT930,44,11,5118.8,56306.8,2354.648,4,furniture,142,Skippad Ltd,jchavezik@aboutads.info,27,44,Genova,Italy
597,SO - 000698,41860,Wholesale,USD,NXH382,52,11,6117.1,67288.1,4404.312,10,accessories,2,Jaxbean Group,jwilliamsonpk@eventbrite.com,42,52,Stuttgart,Germany
598,SO - 000699,41860,Distributor,USD,NXH382,51,5,1025.1,5125.5,850.833,6,grocery & gourmet foods,22,SAFEWAY Ltd,rclark1m@oracle.com,45,51,Dortmund,Germany
599,SO - 000700,41860,Distributor,USD,AXW291,21,10,944.7,9447.0,462.903,8,car & motorbike,144,Wordpedia Ltd,kmurray1y@go.com,12,21,Donetsk,Ukraine
600,SO - 000701,41861,Wholesale,USD,NXH382,55,7,1025.1,7175.7,656.064,14,musical instruments,7,Skidoo Company,cmiller1e@statcounter.com,41,55,Düsseldorf,Germany
601,SO - 000702,41861,Distributor,USD,NXH382,48,10,3859.2,38592.0,2045.376,9,health & personal care,22,SAFEWAY Ltd,rclark1m@oracle.com,45,48,Zaragoza,Spain
602,SO - 000703,41861,Wholesale,USD,NXH382,60,11,194.3,2137.3,91.321,15,pet supplies,108,Vitz Company,pmorales92@naver.com,27,60,Sheffield,UK
603,SO - 000704,41861,Wholesale,USD,AXW291,15,11,6184.1,68025.1,4638.075,12,garden & outdoor,15,Centizu Company,sgarcia9k@myspace.com,23,15,Barcelona,Spain
604,SO - 000705,41861,Distributor,USD,AXW291,24,6,1728.6,10371.6,916.158,7,men's & women's clothing,49,Skyvu Group,cmontgomeryn@twitpic.com,58,24,Odessa,Ukraine
605,SO - 000706,41861,Wholesale,USD,GUT930,37,8,931.3,7450.4,772.979,12,garden & outdoor,107,NCS Group,nandersonqk@blogspot.com,26,37,Valencia,Spain
606,SO - 000707,41861,Wholesale,USD,AXW291,24,5,3886.0,19430.0,2797.92,9,health & personal care,143,Mita Corp,rfoxlk@slideshare.net,2,24,Odessa,Ukraine
607,SO - 000708,41861,Wholesale,USD,AXW291,14,12,234.5,2814.0,96.145,7,men's & women's clothing,138,Zoovu Corp,treynoldspc@freewebs.com,9,14,Kharkov,Ukraine
608,SO - 000709,41861,Distributor,USD,GUT930,39,9,3979.8,35818.2,1989.9,1,home appliances,92,Yodoo Ltd,fscottii@fotki.com,24,39,Leeds,UK
609,SO - 000710,41862,Distributor,USD,GUT930,42,6,3356.7,20140.2,1846.185,1,home appliances,4,Eire Corp,rgreene16@deviantart.com,64,42,Palermo,Italy
610,SO - 000711,41862,Wholesale,USD,AXW291,10,5,2519.2,12596.0,1309.984,6,grocery & gourmet foods,63,Pfizer Corp,cwillis4l@answers.com,26,10,MINSK,Belarus
611,SO - 000712,41862,Wholesale,USD,AXW291,5,5,837.5,4187.5,460.625,7,men's & women's clothing,11,Voonyx Group,sandrews4j@cisco.com,15,5,KIEV,Ukraine
612,SO - 000713,41862,Distributor,USD,GUT930,42,6,3926.2,23557.2,2552.03,6,grocery & gourmet foods,42,Colgate-Pa Group,dmorrisf1@google.pl,20,42,Palermo,Italy
613,SO - 000714,41862,Wholesale,USD,NXH382,56,9,6231.0,56079.0,4797.87,10,accessories,99,Flipbug Ltd,rford65@google.co.jp,13,56,LISBOA (Lisbon),Portugal
614,SO - 000715,41862,Wholesale,USD,GUT930,43,6,3932.9,23597.4,2871.017,3,electronics,167,Nlounge Ltd,fromero4g@behance.net,62,43,KISHINEV,Moldova
615,SO - 000716,41862,Wholesale,USD,AXW291,29,8,3966.4,31731.2,2816.144,7,men's & women's clothing,151,Snaptags Ltd,jsullivangr@sun.com,57,29,Lódz,Poland
616,SO - 000717,41862,Wholesale,USD,AXW291,13,5,2291.4,11457.0,1581.066,3,electronics,58,Ozu Ltd,rburns9i@usda.gov,14,13,WIEN (Vienna),Austria
617,SO - 000718,41862,Wholesale,USD,GUT930,33,6,3678.3,22069.8,2059.848,15,pet supplies,8,Amerisourc Corp,kcarr11@ustream.tv,23,33,ATHINAI (Athens),Greece
618,SO - 000719,41863,Distributor,USD,FLR025,65,5,3999.9,19999.5,3039.924,5,sports & fitness,86,Voolith Ltd,ddayqi@amazon.co.jp,66,65,OSLO,Norway
619,SO - 000720,41863,Export,USD,NXH382,51,10,991.6,9916.0,575.128,1,home appliances,102,Linkbuzz Ltd,bsimsla@icio.us,64,51,Dortmund,Germany
620,SO - 000721,41863,Distributor,USD,AXW291,26,9,5447.1,49023.9,4248.738,13,beauty make-up,80,Realbuzz Ltd,gandrews39@nifty.com,42,26,Torino (Turin),Italy
621,SO - 000722,41863,Distributor,USD,GUT930,32,7,2452.2,17165.4,1054.446,11,toy & kids products,13,Nexus Group,rsanders1e@latimes.com,9,32,Lvov,Ukraine
622,SO - 000723,41863,Export,USD,GUT930,37,10,998.3,9983.0,469.201,4,furniture,77,Valeant Corp,bbowman1j@phpbb.com,60,37,Valencia,Spain
623,SO - 000724,41863,Wholesale,USD,GUT930,45,11,1313.2,14445.2,577.808,12,garden & outdoor,150,Zooxo Ltd,hmoore3c@privacy.gov.au,43,45,Frankfurt am Main,Germany
624,SO - 000725,41863,Wholesale,USD,AXW291,3,9,2512.5,22612.5,1658.25,14,musical instruments,89,Internatio Company,bbutler13@addtoany.com,28,3,MADRID,Spain
625,SO - 000726,41864,Distributor,USD,GUT930,43,10,5346.6,53466.0,3528.756,15,pet supplies,93,Meejo Corp,jreed7i@epa.gov,29,43,KISHINEV,Moldova
626,SO - 000727,41864,Distributor,USD,NXH382,60,5,3618.0,18090.0,2496.42,5,sports & fitness,88,Twitterbri Ltd,lburkefb@epa.gov,46,60,Sheffield,UK
627,SO - 000728,41864,Wholesale,USD,AXW291,23,5,1876.0,9380.0,1500.8,7,men's & women's clothing,115,Dynazzy Company,ahansoni9@acquirethisname.com,61,23,Birmingham,UK
628,SO - 000729,41864,Distributor,USD,AXW291,8,9,254.6,2291.4,201.134,14,musical instruments,70,Cogidoo Company,mcarrolli3@foxnews.com,36,8,BUDAPEST,Hungary
629,SO - 000730,41864,Distributor,USD,AXW291,29,11,3825.7,42082.7,1530.28,14,musical instruments,41,Pixoboo Corp,gpalmer43@hexun.com,25,29,Lódz,Poland
630,SO - 000731,41864,Wholesale,USD,NXH382,51,7,2251.2,15758.4,1620.864,8,car & motorbike,86,Voolith Ltd,ddayqi@amazon.co.jp,66,51,Dortmund,Germany
631,SO - 000732,41864,Wholesale,USD,AXW291,24,7,4013.3,28093.1,3090.241,14,musical instruments,106,Organon Corp,cwillis1c@theatlantic.com,15,24,Odessa,Ukraine
632,SO - 000733,41864,Export,USD,AXW291,28,7,1072.0,7504.0,836.16,9,health & personal care,11,Voonyx Group,sandrews4j@cisco.com,15,28,Zaporozhye,Ukraine
633,SO - 000734,41865,Export,USD,NXH382,50,5,2458.9,12294.5,2090.065,7,men's & women's clothing,166,Brainspher Ltd,hfowler6h@xinhuanet.com,39,50,Rotterdam,Netherlands
634,SO - 000735,41865,Export,USD,AXW291,29,8,1809.0,14472.0,1013.04,13,beauty make-up,82,Accudial Company,ngarza2s@illinois.edu,2,29,Lódz,Poland
